Source,Category,Headline,Link,Description,Date,Author
Copperbelt Energy,Careers,CEC Career Opportunity: Creative & Graphic Designer,https://cecinvestor.com/search/kitwe/feed/rss2/,"Career Opportunity We invite applications from suitably qualified and innovative individuals to take up the position of Creative &amp; Graphic Designer to be based in Kitwe. The successful candidate will be responsible for creating aesthetically pleasing visual and audio content for CEC. Other responsibilities include defining requirements, visualising and creating graphics including illustrations, logos, layouts,","Fri, 18 Aug 2023 09:57:49 +0000",Lovejoy Musundire
Copperbelt Energy,Careers,CEC Career Opportunity: Senior Manager – Corporate Communication (01),https://cecinvestor.com/search/kitwe/feed/rss2/,"Grade: CEC4 Contract | Type: Permanent | Location: Kitwe This role is responsible for planning and driving communication efforts between the organisation and its publics, to keep them informed of company developments with the view of maintaining and building a positive image of the Company. The job holder will be responsible for communicating new developments","Tue, 01 Aug 2023 18:54:12 +0000",CEC Investor Relations
Copperbelt Energy,Careers,CEC Career Opportunity: Security Officer (4),https://cecinvestor.com/search/kitwe/feed/rss2/,"Grade: CEC10 | Contract Type: Permanent | Location: Kitwe This job holder will be required to perform a range of security duties such as surveillance access security control, motor vehicle tracking and monitoring other security electronic systems in order to ensure security of company property. This role will be reporting to the Senior Security Officer.","Tue, 01 Aug 2023 18:53:47 +0000",CEC Investor Relations
Copperbelt Energy,Careers,CEC Career Opportunities: Drafter – Civil/Mechanical,https://cecinvestor.com/search/kitwe/feed/rss2/,"Career Opportunity We invite applications from suitably qualified and innovative individuals to take up the position of Drafter - Civil/Mechanical to be based in Kitwe. The successful candidate will be required to design and produce Civil, (Architectural), Structural (steelwork &amp; concrete) and mechanical drawings to facilitate construction, fabrication, maintenance of company infrastructure and other engineering","Wed, 12 Jul 2023 09:40:44 +0000",Lovejoy Musundire
Copperbelt Energy,Careers,CEC Career Opportunities: Artisan Electrical,https://cecinvestor.com/search/kitwe/feed/rss2/,"Career Opportunity We invite applications from suitably qualified and innovative individuals to take up the position of Artisan Electrical to be based in Kitwe. The successful candidate will be required to carry out electrical maintenance, repair and installation of all electrical equipment under 380v supply. This role will be reporting to the Supervisor – Electrical","Wed, 12 Jul 2023 09:39:59 +0000",Lovejoy Musundire
Copperbelt Energy,Careers,CEC Career Opportunities: Laboratory Analyst,https://cecinvestor.com/search/kitwe/feed/rss2/,Career Opportunity We invite applications from suitably qualified and innovative individuals to take up the position of Laboratory Analyst to be based in Kitwe. The successful candidate will be required to perform a range of laboratory analytical activities including oil testing and sampling and routine testing of plant equipment to facilitate condition based maintenance. This,"Wed, 12 Jul 2023 09:39:17 +0000",Lovejoy Musundire
Copperbelt Energy,"Featured,News",CEC Calls for Coordinated Energy Transition Efforts,https://cecinvestor.com/search/kitwe/feed/rss2/,"14th June 2023 Lubumbashi, Zambia – Copperbelt Energy Corporation Plc (CEC) has emphasized the need for coordinated efforts in the transition to green energy sources. Managing Director, Mr. Owen Silavwe, stated today during a sponsor interview session and panel discussion at the ongoing DRC Mining Week, that the Company is aware of the rising energy","Thu, 15 Jun 2023 06:55:36 +0000",Lovejoy Musundire
Copperbelt Energy,"Corporate Announcements,Featured",CEC Plc | Reminder – Notice and Agenda for the Extraordinary General Meeting,https://cecinvestor.com/search/kitwe/feed/rss2/,"NOTICE IS HEREBY GIVEN that an Extraordinary General Meeting (EGM) of the Members of Copperbelt Energy Corporation Plc will be held VIRTUALLY on https://eagm.creg.co.zw/eagm/Login.aspx at 10:00 hours on Monday 5th June 2023 to transact the following special business: Call to Order Call to order, taking of proxies and announcements concerning quorum in attendance. Amendment of","Wed, 31 May 2023 09:29:11 +0000",Lovejoy Musundire
Copperbelt Energy,"Corporate Announcements,Featured,AF",CEC Plc | Amended Notice and Agenda for Extraordinary General Meeting,https://cecinvestor.com/search/kitwe/feed/rss2/,"NOTICE IS HEREBY GIVEN that an Extraordinary General Meeting (EGM) of the Members of Copperbelt Energy Corporation Plc will be held VIRTUALLY on https://eagm.creg.co.zw/eagm/Login.aspx at 10:00 hours on Monday 5th June 2023 to transact the following special business: Call to Order Call to order, taking of proxies and announcements concerning quorum in attendance. Amendment of","Wed, 24 May 2023 14:39:25 +0000",CEC Investor Relations
Copperbelt Energy,Careers,CEC Renewables Limited Career Opportunities: Operations and Maintenance Engineer,https://cecinvestor.com/search/kitwe/feed/rss2/,"CEC Renewables Limited (‘CEC Renewables’’) is a subsidiary of the CEC Group through which the attainment of clean energy and operations, driven by the global and Zambian energy transition agenda in the generation and consumption of power from clean sources, such as solar, wind and battery storage is attained. Career Opportunities We currently have career","Tue, 25 Apr 2023 14:54:57 +0000",Lovejoy Musundire
Copperbelt Energy,Careers,CEC Renewables Limited Career Opportunities: Assets Manager,https://cecinvestor.com/search/kitwe/feed/rss2/,"CEC Renewables Limited (‘CEC Renewables’’) is a subsidiary of the CEC Group through which the attainment of clean energy and operations, driven by the global and Zambian energy transition agenda in the generation and consumption of power from clean sources, such as solar, wind and battery storage is attained. Career Opportunities We currently have career","Tue, 25 Apr 2023 14:48:22 +0000",Lovejoy Musundire
Copperbelt Energy,News,CEC’s Contribution to Engineering Innovation Acknowledged,https://cecinvestor.com/search/kitwe/feed/rss2/,"The Copperbelt Energy Corporation (CEC) has received an Excellence Award from the Engineering Institute of Zambia (EIZ) at the ongoing EIZ Annual Conference that is being held in Livingstone from 20th – 22nd April 2023. The award is in recognition of the Company’s contribution to engineering innovation through its Engineering, Procurement and Construction (EPC) project","Fri, 21 Apr 2023 07:12:33 +0000",Lovejoy Musundire
Copperbelt Energy,"Corporate Announcements,Featured,AF",CEC | Notice and Agenda of the Twenty-Fifth Annual General Meeting,https://cecinvestor.com/search/kitwe/feed/rss2/,"NOTICE IS HEREBY GIVEN that the Twenty-Fifth Annual General Meeting (AGM) of the Members of Copperbelt Energy Corporation PLC will be held VIRTUALLY on https://eagm.creg.co.zw/eagm/Login.aspx at 10:00 hours on Thursday, 27th April 2023 to transact the following business: 1. Adoption of Minutes To consider and adopt the minutes of the Twenty-Fourth Annual General Meeting held","Wed, 05 Apr 2023 13:45:57 +0000",Lovejoy Musundire
Copperbelt Energy,Careers,CEC Career Opportunities: Co-ordinator Safety (01),https://cecinvestor.com/search/kitwe/feed/rss2/,We currently have career opportunities in the following fields: Co-ordinator Safety (01) Grade CEC7 | Contract Type Permanent | Location Kitwe To provide inspection and advisory service on all aspects of occupational health and safety in order to effectively promote safe working conditions around workplaces at CEC. Key Accountabilities To ensure the day to day,"Fri, 17 Mar 2023 13:44:02 +0000",CEC Investor Relations
Copperbelt Energy,Careers,CEC Career Opportunities: Trade Advisor (01),https://cecinvestor.com/search/kitwe/feed/rss2/,"We currently have career opportunities in the following fields: Trade advisor (01) Grade CEC6 | Contract Type Permanent | Location Kitwe This role is responsible for the day-to-day operations of the power market including market coupling and technological development of the market platform and its products and services; forecasting, planning and advising power traders; and","Fri, 17 Mar 2023 13:43:23 +0000",CEC Investor Relations
Copperbelt Energy,Careers,CEC Career Opportunities: Engineer – Network Development (01),https://cecinvestor.com/search/kitwe/feed/rss2/,"We currently have career opportunities in the following fields: Engineer - Network Development (01) Grade CEC6 | Contract Type Permanent | Location Kitwe The job holder will be responsible for supporting new customers to the CEC network with a focus on technical aspects, determine network requirements of future investments on the CEC network and other","Fri, 17 Mar 2023 13:42:39 +0000",Lovejoy Musundire
Copperbelt Energy,Careers,CEC Career Opportunities: Engineer – Business Development (01),https://cecinvestor.com/search/kitwe/feed/rss2/,"We currently have career opportunities in the following fields: Engineer - Business Development (01) Grade CEC6 | Contract Type Permanent | Location Kitwe The job holder will be responsible for coordinating the onboarding of new customers to the CEC network, determine network requirements of future investments on the CEC network and other regional networks and","Fri, 17 Mar 2023 13:41:44 +0000",Lovejoy Musundire
Copperbelt Energy,Careers,CEC Career Opportunities: Energy Statistician (01),https://cecinvestor.com/search/kitwe/feed/rss2/,"We currently have career opportunities in the following fields: Energy statistician (01) Grade CEC6 | Contract Type Permanent | Location Kitwe The role is responsible for customer billing. It involves collection, analysing and processing of timely and accurate energy sales data for billing, informational and reporting purposes. This role is also responsible for preparing fit-for-purpose","Fri, 17 Mar 2023 13:40:46 +0000",Lovejoy Musundire
Copperbelt Energy,Careers,CEC Career Opportunities: Energy Planner (01),https://cecinvestor.com/search/kitwe/feed/rss2/,We currently have career opportunities in the following fields: 1. Energy Planner (01) Grade CEC6 | Contract Type Permanent | Location Kitwe The role is responsible for short and long-range customer demand forecasting and development of befitting short and long range energy sourcing plans in respect of CEC’s power purchases to support the customer demand,"Fri, 17 Mar 2023 13:32:26 +0000",CEC Investor Relations
Copperbelt Energy,"Corporate Social Responsibility,Featured,News,AF","Speech by CEC Company Secretary, Julia Chaila, at Handover of School Shoes Donation to Riverain Combined School",https://cecinvestor.com/search/kitwe/feed/rss2/,"The CEC Ladies, in celebration of International Women’s Day, made a donation of school shoes to the children of Riverain Combined School in Kitwe, Zambia. The donation was motivated by the empathy that the CEC Ladies have for the children who walk to school barefooted or with barely covered feet, which can be dangerous and unsanitary. The CEC Ladies believe that education is the most important thing that can be given to children, and improving education opportunities is a catalyst for a better life for individuals, communities, and society at large. The donation of school shoes is one of many social impact initiatives that the CEC Ladies have participated in to give back to the communities around them and to better the quality of life for those who are needy and vulnerable.","Thu, 09 Mar 2023 12:13:43 +0000",aiciadmin
Copperbelt Energy,"Corporate Announcements,Featured",CEC – Market Announcement,https://cecinvestor.com/search/kitwe/feed/rss2/,"Copperbelt Energy Corporation PLC (“CEC” or “the Group”) is pleased to inform its Shareholders and the general public that it has incorporated the subsidiary, CEC Renewables Limited (“CEC Renewables”). Wholly owned, CEC Renewables is part of the CEC Group since 28th October 2022 and is responsible for driving the Group’s development and integration of renewable","Thu, 02 Mar 2023 12:30:22 +0000",Lovejoy Musundire
